"mutation1"	"mutation2"	"mutation3"	"mutation4"	"mutation5"	"mutation6"	"mutation7"	"mutation8"	"mutation9"	"mutation10"	"mutation11"	"mutation12"	"mutation13"	"mutation14"	"mutation15"	"mutation16"	"mutation17"	"mutation18"	"mutation19"	"mutation20"
"sample1"	0	1	1	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
"sample2"	0	1	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	1	0	5
"sample3"	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0
"sample4"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	67	1	0
"sample5"	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample6"	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample7"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample8"	6	0	0	0	0	1	1	1	0	0	0	0	0	0	0	82	29	0	1	0
"sample9"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"sample10"	0	0	0	0	1	0	0	1	0	120	0	0	0	0	0	0	0	0	0	0
"sample11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
"sample12"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"sample13"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample14"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample15"	0	17	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0
"sample16"	0	0	0	0	1	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0
"sample17"	0	0	0	0	0	0	0	0	0	73	0	0	0	0	1	0	0	1	0	1
"sample18"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0
"sample19"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	87	0	0	0
"sample20"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample21"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample22"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample23"	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
"sample24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0
"sample25"	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
"sample26"	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
"sample27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample28"	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	31
"sample29"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"sample30"	0	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample31"	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	1
"sample32"	0	0	0	0	0	0	0	0	0	0	8	0	0	1	1	0	0	0	0	0
"sample33"	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"sample34"	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample35"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample36"	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample37"	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample38"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample39"	0	0	0	45	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0
"sample40"	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample41"	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0
"sample42"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
