"mutation1"	"mutation2"	"mutation3"	"mutation4"	"mutation5"	"mutation6"	"mutation7"	"mutation8"	"mutation9"	"mutation10"	"mutation11"	"mutation12"	"mutation13"	"mutation14"	"mutation15"	"mutation16"	"mutation17"	"mutation18"	"mutation19"	"mutation20"
"sample1"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample2"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"sample3"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample6"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample7"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample8"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"sample9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample10"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample12"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample15"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample17"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample26"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample30"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample31"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample32"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample33"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample34"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample35"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample36"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample39"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample41"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample42"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample43"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample45"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample47"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample48"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample49"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample53"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample55"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"sample56"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample58"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample59"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample60"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample62"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample63"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample64"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample65"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample66"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample67"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample68"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample69"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample70"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample72"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample73"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample74"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample76"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample77"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample79"	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
"sample80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample82"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample83"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample84"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
