"Y"	"X"
"sample1"	2.88790826886112	1.12212305315468
"sample2"	1.34857336022657	0.0806480291792157
"sample3"	-1.06866905065409	-0.868588950997529
"sample4"	2.0671399779007	1.18048161959213
"sample5"	1.11073039777352	-0.428130738476252
"sample6"	1.90081568551285	0.112915982588836
"sample7"	-0.274239760155992	0.226346910863343
"sample8"	3.11770019485341	1.83710283486097
"sample9"	0.832983013330672	1.0680786132733
"sample10"	1.33241760170204	0.356173222898315
"sample11"	1.62906918724957	0.883657214449514
"sample12"	-0.479712753624697	-0.683853751965781
"sample13"	0.163887143802634	0.552858816073727
"sample14"	-1.07021523823814	-1.46684422281614
"sample15"	2.99746966017155	0.0693527591872955
"sample16"	-2.38525265341515	-2.06387441082332
"sample17"	2.83823315113958	1.28351483546888
"sample18"	-1.39836917915066	-0.734753638679705
"sample19"	-0.96958187320969	-0.852627819977392
"sample20"	0.0597926640359877	-0.252319601313542
"sample21"	0.489210049933326	-0.891294684986097
"sample22"	2.89484634459565	0.510109082524748
"sample23"	1.80670401822256	0.487613530402583
"sample24"	-1.20915411175256	-1.30947407678755
"sample25"	0.0319740302967498	0.0118596690428937
"sample26"	-0.841198886003332	-1.02250377080776
"sample27"	0.15195100817161	-0.604867643113925
"sample28"	1.2746194108154	-0.458493632886043
"sample29"	1.1771969826954	-0.337592183992282
"sample30"	2.47642117118747	1.49879852595632
"sample31"	0.445052728832139	-0.0162948010774168
"sample32"	0.232740566855334	0.622505042665342
"sample33"	0.613739195157806	-0.108944999739728
"sample34"	2.68067303367584	0.119234591031851
"sample35"	2.28771903074075	-0.955243291041997
"sample36"	3.19381036332734	0.46281611415518
"sample37"	0.69931671278931	-0.893223178779825
"sample38"	0.462460130568771	-0.174348839824387
"sample39"	2.16621117924653	0.655084636539537
"sample40"	-0.850998221216122	-1.14662357680333
"sample41"	1.18129592512763	-0.396568105891766
"sample42"	2.3736803372482	-0.420844620961399
"sample43"	0.382275104687859	-1.01351497272491
"sample44"	1.71631116494151	0.888795631388655
"sample45"	-0.388272156143124	-1.27372653185941
"sample46"	-0.766392589900096	-0.52601789396042
"sample47"	-0.0562491592413176	-0.920442711560454
"sample48"	-1.66336022390211	-1.17718159508483
"sample49"	1.67838931192821	-0.297843865569319
"sample50"	0.958901886020532	0.153323798217322
"sample51"	1.37567697677744	0.448072174047245
